FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
1.7,0.4,0.02,-2.5,-5.4,-0.03,4.3,5.6,0.03,-3.7,-3.7,-0.03,-0.4,1.1,0.7,2.1,-1.1,1.0,1.0,-1.3,-2.7,-8.0,False
-3.9,-1.4,-0.04,-2.6,-3.1,-0.05,-1.3,1.7,-0.04,0.7,1.2,-0.01,1.6,-2.3,-0.7,-7.6,-1.5,-1.5,-0.6,1.0,-9.8,-29.0,True
-0.1,0.4,-0.0,-0.8,-1.2,-0.01,0.8,1.7,-0.0,-0.7,-1.7,0.03,-2.3,-0.1,-2.4,2.9,2.4,2.0,1.4,-1.2,-1.5,-9.0,False
1.0,3.5,-0.01,1.3,5.2,-0.03,-0.3,-1.8,0.01,3.3,4.8,-0.02,3.7,1.1,4.7,-1.5,-0.9,0.0,2.8,3.1,6.7,-12.0,False
-1.7,-0.4,-0.02,2.5,5.4,0.03,-4.3,-5.6,-0.03,3.7,3.7,0.03,0.4,-1.1,-0.7,-2.1,1.1,-1.0,-1.0,1.3,2.7,8.0,True
0.1,-0.4,0.0,0.8,1.2,0.01,-0.8,-1.7,0.0,0.7,1.7,-0.03,2.3,0.1,2.4,-2.9,-2.4,-2.0,-1.4,1.2,1.5,9.0,True
-1.7,-0.4,-0.02,2.5,5.4,0.03,-4.3,-5.6,-0.03,3.7,3.7,0.03,0.4,-1.1,-0.7,-2.1,1.1,-1.0,-1.0,1.3,2.7,8.0,False
3.9,1.4,0.04,2.6,3.1,0.05,1.3,-1.7,0.04,-0.7,-1.2,0.01,-1.6,2.3,0.7,7.6,1.5,1.5,0.6,-1.0,9.8,29.0,True
0.1,-0.4,0.0,0.8,1.2,0.01,-0.8,-1.7,0.0,0.7,1.7,-0.03,2.3,0.1,2.4,-2.9,-2.4,-2.0,-1.4,1.2,1.5,9.0,True
-1.0,-3.5,0.01,-1.3,-5.2,0.03,0.3,1.8,-0.01,-3.3,-4.8,0.02,-3.7,-1.1,-4.7,1.5,0.9,0.0,-2.8,-3.1,-6.7,12.0,False
1.4,-2.7,0.03,-4.5,-11.4,-0.03,5.9,8.6,0.03,-1.6,-0.7,-0.05,0.8,-0.7,0.2,-0.9,-0.6,1.2,1.5,0.2,-3.4,0.0,True
3.9,1.4,0.04,2.6,3.1,0.05,1.3,-1.7,0.04,-0.7,-1.2,0.01,-1.6,2.3,0.7,7.6,1.5,1.5,0.6,-1.0,9.8,29.0,True
-1.6,-3.9,0.0,0.5,0.4,0.02,-2.2,-4.1,-0.0,3.4,3.9,0.01,-0.1,-0.7,-0.8,-2.5,-1.2,0.7,-1.8,-0.4,0.5,11.0,True
-1.0,-3.5,0.01,-1.3,-5.2,0.03,0.3,1.8,-0.01,-3.3,-4.8,0.02,-3.7,-1.1,-4.7,1.5,0.9,0.0,-2.8,-3.1,-6.7,12.0,True
1.6,3.9,-0.0,-0.5,-0.4,-0.02,2.2,4.1,0.0,-3.4,-3.9,-0.01,0.1,0.7,0.8,2.5,1.2,-0.7,1.8,0.4,-0.5,-11.0,True
-1.4,2.7,-0.03,4.5,11.4,0.03,-5.9,-8.6,-0.03,1.6,0.7,0.05,-0.8,0.7,-0.2,0.9,0.6,-1.2,-1.5,-0.2,3.4,0.0,False
0.3,3.5,-0.02,0.8,1.8,0.01,-0.5,1.7,-0.02,-0.8,-3.2,0.06,2.8,0.6,3.5,-1.5,-1.7,-1.0,1.6,0.4,0.6,-9.0,True
0.6,4.8,-0.02,-1.2,-2.3,-0.01,1.8,7.0,-0.03,2.9,3.5,0.01,3.3,-0.5,2.8,-1.4,0.1,-1.7,-1.3,2.8,2.9,0.0,False
1.4,-2.7,0.03,-4.5,-11.4,-0.03,5.9,8.6,0.03,-1.6,-0.7,-0.05,0.8,-0.7,0.2,-0.9,-0.6,1.2,1.5,0.2,-3.4,0.0,False
-0.3,-3.5,0.02,-0.8,-1.8,-0.01,0.5,-1.7,0.02,0.8,3.2,-0.06,-2.8,-0.6,-3.5,1.5,1.7,1.0,-1.6,-0.4,-0.6,9.0,False
4.8,3.8,0.04,2.4,0.7,0.07,2.4,3.1,0.01,-3.7,-7.6,0.07,-1.3,4.5,3.1,6.7,-1.6,0.9,-0.7,-1.1,8.4,32.0,True
-1.6,-3.9,0.0,0.5,0.4,0.02,-2.2,-4.1,-0.0,3.4,3.9,0.01,-0.1,-0.7,-0.8,-2.5,-1.2,0.7,-1.8,-0.4,0.5,11.0,True
-0.6,-4.8,0.02,1.2,2.3,0.01,-1.8,-7.0,0.03,-2.9,-3.5,-0.01,-3.3,0.5,-2.8,1.4,-0.1,1.7,1.3,-2.8,-2.9,0.0,True
-1.4,2.7,-0.03,4.5,11.4,0.03,-5.9,-8.6,-0.03,1.6,0.7,0.05,-0.8,0.7,-0.2,0.9,0.6,-1.2,-1.5,-0.2,3.4,0.0,True
3.7,2.3,0.03,-1.5,-4.9,0.01,5.4,7.0,0.03,2.0,2.9,-0.01,3.9,1.7,5.5,0.9,0.6,2.2,3.1,1.1,7.9,13.0,True
0.3,3.5,-0.02,0.8,1.8,0.01,-0.5,1.7,-0.02,-0.8,-3.2,0.06,2.8,0.6,3.5,-1.5,-1.7,-1.0,1.6,0.4,0.6,-9.0,True
-3.3,0.7,-0.04,-0.9,0.0,-0.04,-2.5,0.7,-0.04,2.9,4.3,-0.02,1.8,-4.0,-2.3,-3.8,0.5,-1.6,0.2,4.2,-4.4,-25.0,False
-4.8,-3.8,-0.04,-2.4,-0.7,-0.07,-2.4,-3.1,-0.01,3.7,7.6,-0.07,1.3,-4.5,-3.1,-6.7,1.6,-0.9,0.7,1.1,-8.4,-32.0,False
0.6,4.8,-0.02,-1.2,-2.3,-0.01,1.8,7.0,-0.03,2.9,3.5,0.01,3.3,-0.5,2.8,-1.4,0.1,-1.7,-1.3,2.8,2.9,0.0,True
-0.8,2.4,-0.02,-1.7,-3.4,-0.02,1.0,5.8,-0.03,0.8,3.8,-0.08,1.9,0.0,1.8,-3.3,0.3,-0.2,-0.1,-1.3,-2.3,-13.0,False
