FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
-3.9,-4.8,-0.02,-0.7,0.5,-0.03,-3.2,-5.3,-0.01,1.7,2.8,-0.02,0.7,-2.4,-1.7,-5.3,-1.9,-1.9,-0.2,-1.5,-6.9,-14.0,False
3.9,4.8,0.02,0.7,-0.5,0.03,3.2,5.3,0.01,-1.7,-2.8,0.02,-0.7,2.4,1.7,5.3,1.9,1.9,0.2,1.5,6.9,14.0,True
-3.9,-4.8,-0.02,-0.7,0.5,-0.03,-3.2,-5.3,-0.01,1.7,2.8,-0.02,0.7,-2.4,-1.7,-5.3,-1.9,-1.9,-0.2,-1.5,-6.9,-14.0,False
-3.9,-4.8,-0.02,-0.7,0.5,-0.03,-3.2,-5.3,-0.01,1.7,2.8,-0.02,0.7,-2.4,-1.7,-5.3,-1.9,-1.9,-0.2,-1.5,-6.9,-14.0,True
3.9,4.8,0.02,0.7,-0.5,0.03,3.2,5.3,0.01,-1.7,-2.8,0.02,-0.7,2.4,1.7,5.3,1.9,1.9,0.2,1.5,6.9,14.0,False
3.9,4.8,0.02,0.7,-0.5,0.03,3.2,5.3,0.01,-1.7,-2.8,0.02,-0.7,2.4,1.7,5.3,1.9,1.9,0.2,1.5,6.9,14.0,True
4.6,3.7,0.03,-0.6,-5.7,0.05,5.2,9.4,0.01,-2.6,-5.2,0.05,-1.3,2.3,1.0,5.2,-0.2,1.0,-2.2,-2.1,6.1,11.0,True
-0.4,0.5,-0.01,0.1,1.3,-0.01,-0.5,-0.8,-0.0,1.2,2.4,-0.03,2.4,0.1,2.4,-3.6,-1.7,-0.5,0.1,0.6,0.6,-7.0,True
-4.6,-3.7,-0.03,0.6,5.7,-0.05,-5.2,-9.4,-0.01,2.6,5.2,-0.05,1.3,-2.3,-1.0,-5.2,0.2,-1.0,2.2,2.1,-6.1,-11.0,True
-0.4,0.5,-0.01,0.1,1.3,-0.01,-0.5,-0.8,-0.0,1.2,2.4,-0.03,2.4,0.1,2.4,-3.6,-1.7,-0.5,0.1,0.6,0.6,-7.0,True
-4.6,-3.7,-0.03,0.6,5.7,-0.05,-5.2,-9.4,-0.01,2.6,5.2,-0.05,1.3,-2.3,-1.0,-5.2,0.2,-1.0,2.2,2.1,-6.1,-11.0,False
0.4,-0.5,0.01,-0.1,-1.3,0.01,0.5,0.8,0.0,-1.2,-2.4,0.03,-2.4,-0.1,-2.4,3.6,1.7,0.5,-0.1,-0.6,-0.6,7.0,False
4.6,3.7,0.03,-0.6,-5.7,0.05,5.2,9.4,0.01,-2.6,-5.2,0.05,-1.3,2.3,1.0,5.2,-0.2,1.0,-2.2,-2.1,6.1,11.0,True
0.4,-0.5,0.01,-0.1,-1.3,0.01,0.5,0.8,0.0,-1.2,-2.4,0.03,-2.4,-0.1,-2.4,3.6,1.7,0.5,-0.1,-0.6,-0.6,7.0,False
