Top_Team,Bottom_Team,Winner
Golden State Warriors,Cleveland Cavaliers,Golden State Warriors
Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers
Houston Rockets,Golden State Warriors,Golden State Warriors
Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers
Boston Celtics,Philadelphia 76ers,Boston Celtics
Houston Rockets,Utah Jazz,Houston Rockets
Golden State Warriors,New Orleans Pelicans,Golden State Warriors
Toronto Raptors,Washington Wizards,Toronto Raptors
Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers
Philadelphia 76ers,Miami Heat,Philadelphia 76ers
Boston Celtics,Milwaukee Bucks,Boston Celtics
Houston Rockets,Minnesota Timberwolves,Houston Rockets
Oklahoma City Thunder,Utah Jazz,Utah Jazz
Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans
Golden State Warriors,San Antonio Spurs,Golden State Warriors
