FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
1.8,0.7,0.02,0.9,0.6,0.02,1.0,0.0,0.02,-1.4,-1.6,-0.0,0.1,0.9,1.0,4.0,-0.7,1.1,0.3,0.4,3.3,-1.0,False
-1.8,-0.7,-0.02,-0.9,-0.6,-0.02,-1.0,0.0,-0.02,1.4,1.6,0.0,-0.1,-0.9,-1.0,-4.0,0.7,-1.1,-0.3,-0.4,-3.3,1.0,False
1.8,0.7,0.02,0.9,0.6,0.02,1.0,0.0,0.02,-1.4,-1.6,-0.0,0.1,0.9,1.0,4.0,-0.7,1.1,0.3,0.4,3.3,-1.0,False
1.8,0.7,0.02,0.9,0.6,0.02,1.0,0.0,0.02,-1.4,-1.6,-0.0,0.1,0.9,1.0,4.0,-0.7,1.1,0.3,0.4,3.3,-1.0,False
-1.8,-0.7,-0.02,-0.9,-0.6,-0.02,-1.0,0.0,-0.02,1.4,1.6,0.0,-0.1,-0.9,-1.0,-4.0,0.7,-1.1,-0.3,-0.4,-3.3,1.0,False
-1.8,-0.7,-0.02,-0.9,-0.6,-0.02,-1.0,0.0,-0.02,1.4,1.6,0.0,-0.1,-0.9,-1.0,-4.0,0.7,-1.1,-0.3,-0.4,-3.3,1.0,True
-1.2,-2.0,-0.0,-1.1,-4.4,0.01,-0.1,2.4,-0.03,-0.2,-1.2,0.03,0.3,-4.8,-4.5,-0.6,0.8,-0.6,0.1,1.4,-3.7,-2.0,True
1.2,2.0,0.0,1.1,4.4,-0.01,0.1,-2.4,0.03,0.2,1.2,-0.03,-0.3,4.8,4.5,0.6,-0.8,0.6,-0.1,-1.4,3.7,2.0,False
-1.2,-2.0,-0.0,-1.1,-4.4,0.01,-0.1,2.4,-0.03,-0.2,-1.2,0.03,0.3,-4.8,-4.5,-0.6,0.8,-0.6,0.1,1.4,-3.7,-2.0,True
-1.7,0.8,-0.02,-2.3,-3.7,-0.03,0.5,4.5,-0.03,2.7,2.9,0.01,2.1,-0.3,1.8,-6.4,-0.9,-1.4,-0.5,-1.0,-3.0,-4.0,False
-1.2,-2.0,-0.0,-1.1,-4.4,0.01,-0.1,2.4,-0.03,-0.2,-1.2,0.03,0.3,-4.8,-4.5,-0.6,0.8,-0.6,0.1,1.4,-3.7,-2.0,True
