FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
3.7,2.9,0.03,1.7,4.1,0.01,1.9,-1.1,0.04,0.0,0.0,0.0,-1.7,1.8,0.1,4.0,0.3,0.3,1.8,1.9,9.0,1.0,True
3.2,5.3,0.01,1.5,4.2,0.0,1.6,1.2,0.02,0.7,3.1,-0.07,3.0,1.6,4.6,-0.2,1.6,0.2,-1.0,-3.0,8.6,26.0,True
-0.4,-3.0,0.01,-0.5,-2.3,0.01,0.1,-0.7,0.01,2.4,2.2,0.03,-0.6,-2.0,-2.5,-1.5,0.0,-0.2,-1.1,-1.2,0.9,7.0,False
1.0,4.1,-0.01,-0.5,-1.5,0.0,1.5,5.5,-0.02,-0.1,-0.6,0.02,1.2,1.1,2.2,-2.9,-1.6,0.1,-1.2,-0.1,1.5,1.0,True
0.1,1.9,-0.01,-6.3,-18.3,0.01,6.4,20.2,-0.08,-7.3,-8.4,-0.05,0.5,-3.1,-2.6,0.1,-0.7,-0.7,-0.1,0.5,-13.6,-38.0,True
1.8,-0.3,0.02,-1.0,-2.7,0.0,2.9,2.5,0.03,-5.3,-7.8,0.03,-0.5,-2.7,-3.2,0.6,2.0,-0.4,0.6,1.6,-2.6,12.0,False
-2.6,-1.1,-0.03,0.2,1.2,-0.01,-2.9,-2.2,-0.03,-1.3,-2.6,0.03,-1.8,-3.7,-5.5,-3.4,-0.5,-0.9,-0.9,-2.5,-6.4,-28.0,False
1.6,0.5,0.02,-1.6,-3.9,-0.0,3.1,4.4,0.02,0.8,1.1,0.0,0.6,-2.0,-1.4,2.7,0.5,-0.2,0.6,1.6,2.6,-12.0,True
-0.4,-1.2,0.0,2.5,4.9,0.03,-2.7,-6.1,0.0,-3.5,-5.2,0.02,-2.2,-0.8,-2.8,1.4,0.1,-0.7,-3.4,-2.8,-1.6,3.0,False
-4.5,-2.2,-0.04,-0.5,0.7,-0.03,-4.0,-2.9,-0.05,0.2,1.2,-0.04,0.6,-0.9,-0.2,-6.9,0.6,-2.4,-0.8,0.0,-9.4,-10.0,True
2.0,4.2,0.0,-5.3,-13.2,-0.02,7.3,17.4,-0.04,-3.0,-1.8,-0.07,1.7,1.2,2.9,2.3,-0.8,-0.1,2.0,1.7,-4.3,-30.0,False
-2.2,-0.5,-0.02,-1.0,-4.1,0.02,-1.2,3.6,-0.05,-2.6,-2.0,-0.05,0.3,-0.6,-0.3,-1.5,0.1,-2.2,0.1,-3.3,-7.9,-20.0,False
-0.5,-2.0,0.01,1.7,4.6,0.0,-2.1,-6.7,0.02,2.8,3.4,0.01,0.1,-0.2,-0.3,0.2,-1.4,1.3,1.2,1.4,3.7,1.0,True
-1.1,-2.8,0.0,0.3,0.2,0.01,-1.3,-2.9,0.0,-2.6,-4.7,0.04,-3.2,1.6,-1.6,1.4,-1.5,0.3,0.4,-0.1,-4.5,-4.0,False
0.3,2.9,-0.01,-3.8,-8.8,-0.02,4.1,11.8,-0.04,-3.2,-4.3,0.01,2.0,-0.1,1.9,-0.1,-0.4,1.3,1.0,1.9,-6.4,-21.0,False
